FactoryName;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;PostalCode;Country;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
Olive Apparel (Cambodia) Co., Ltd.;FINISHED GOODS;Apparel;Nike;;RAMATEX;National Road No 3 Phum Prey Kambot;Phnom Penh;Phnom Penh;120910;Cambodia;SE ASIA;1473;1304;89;0
PT. Kanindo Makmur Jaya;FINISHED GOODS;Equipment;Nike;Collegiate;KANAAN;Jalan Raya Jepara Kudus;Jepara;Jawa Tengah;59462;Indonesia;S ASIA;6030;5929;62;0
South Island Garment Sdn Bhd;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;2468 Solok Perusahaan Dua;Perai;Pulau Pinang;13600;Malaysia;S ASIA;601;325;53;83
EVEREST TEXTILE CO LTD;MATERIALS;Apparel;Nike;;EVEREST TEXTILE;No 256 Minghe Village;Tainan City;Tainan;743002;Taiwan;N ASIA;1423;1087;51;47
Big Game Sports;FINISHED GOODS;Equipment;Nike;Collegiate;BIG GAME SPORTS;13835 Welch Rd;Dallas;Texas;75244;USA;AMERICAS;69;50;36;0
PT Semarang Garment;FINISHED GOODS;Apparel;Nike;Collegiate;ONTIDE;JL Soekarno Hatta Km 25;Semarang;Jawa Tengah;50552;Indonesia;S ASIA;3851;3462;94;0
Charmgo (Cambodia) Co. Ltd;FINISHED GOODS;Apparel;Nike;;CHARMGO;Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey;Kampong Spey;Kampong Spueu;05207;Cambodia;SE ASIA;1557;1526;71;1
SAN FANG (TR1) (CHINA);MATERIALS;Footwear;Nike;;SAN FANG;YUE YUEN INDUSTRIAL PARK;DONGGUAN;Guangdong;511700;China;N ASIA;307;225;20;0
Song Hong - Nghia Hung Garment Joint Stock Company;FINISHED GOODS;Apparel;Nike;;SONG HONG NGHIA HUNG COMPANY;Team 12 Nghia Phong Town Nghia Hung District;Nam Dinh;Nam Ðnh;426710;Vietnam;SE ASIA;1802;1678;80;0
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05;FINISHED GOODS;Apparel;Nike;Collegiate;MAXPORT;Lot No85 Map No44;Nam Dinh;Nam Ðnh;42000;Vietnam;SE ASIA;1370;1123;83;0
